Chest Type,ItemStack,Item Display Name,Item ID,Weight
bonusChest,1xitem.stick@0,Stick,minecraft:stick,10
bonusChest,1xtile.wood@0,Oak Wood Planks,minecraft:planks,10
bonusChest,1xtile.log@0,Oak Wood,minecraft:log,10
bonusChest,1xitem.apple@0,Apple,minecraft:apple,5
bonusChest,1xitem.bread@0,Bread,minecraft:bread,3
bonusChest,1xtile.log@0,Acacia Wood,minecraft:log2,10
bonusChest,1xic2.itemTreetap@0,Treetap,IC2:itemTreetap,2
bonusChest,1xitem.lexicon@0,Lexica Botania,Botania:lexicon,7
bonusChest,1xitem.blackLotus@0,Black Lotus,Botania:blackLotus,1
bonusChest,1xitem.wadingBoots@0,Wading Boots,BiomesOPlenty:wadingBoots,5
bonusChest,1xitem.flippers@0,Flippers,BiomesOPlenty:flippers,5
bonusChest,1xitem.ricecake@0,Ricecake (without Fish),NuclearCraft:ricecake,6
bonusChest,1xitem.boiledEgg@0,Boiled Egg,NuclearCraft:boiledEgg,6
bonusChest,1xitem.weaponcase@0,Weapon Case: First Edition,weaponcaseloot:item.weaponcase,3
bonusChest,1xitem.weaponcase@1,Weapon Case: Second Edition,weaponcaseloot:item.weaponcase,3
bonusChest,1xitem.weaponcase@2,Weapon Case: Bows,weaponcaseloot:item.weaponcase,3
bonusChest,1xitem.weaponcase@3,Weapon Case: Baubles Rings,weaponcaseloot:item.weaponcase,3
bonusChest,1xitem.InfiTool.Broadsword@0,Broadsword,TConstruct:broadsword,10
bonusChest,1xitem.InfiTool.Pickaxe@0,§fStarter Pickaxe,TConstruct:pickaxe,5
bonusChest,1xitem.InfiTool.Axe@0,§fStarter Hatchet,TConstruct:hatchet,5
bonusChest,1xgt.metaitem.02@32100,Purple Drink,gregtech:gt.metaitem.02,2
dimensionalDungeonChest,1xitem.mfr.safarinet.jailer@0,Jailer's Safari Net,MineFactoryReloaded:safarinet.jailer,15
dimensionalDungeonChest,1xtile.mfr.rubberwood.sapling@0,Rubber Sapling,MineFactoryReloaded:rubberwood.sapling,70
dimensionalDungeonChest,1xitem.mfr.pinkslime@0,Pink Slimeball,MineFactoryReloaded:pinkslime,1
dungeonChest,1xitem.saddle@0,Saddle,minecraft:saddle,10
dungeonChest,1xitem.ingotIron@0,Iron Ingot,minecraft:iron_ingot,10
dungeonChest,1xitem.bread@0,Bread,minecraft:bread,10
dungeonChest,1xitem.wheat@0,Wheat,minecraft:wheat,10
dungeonChest,1xitem.sulphur@0,Gunpowder,minecraft:gunpowder,10
dungeonChest,1xitem.string@0,String,minecraft:string,10
dungeonChest,1xitem.bucket@0,Bucket,minecraft:bucket,10
dungeonChest,1xitem.appleGold@0,Golden Apple,minecraft:golden_apple,1
dungeonChest,1xitem.redstone@0,Redstone,minecraft:redstone,10
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_13,10
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_cat,10
dungeonChest,1xitem.nameTag@0,Name Tag,minecraft:name_tag,10
dungeonChest,1xitem.horsearmorgold@0,Gold Horse Armor,minecraft:golden_horse_armor,2
dungeonChest,1xitem.horsearmormetal@0,Iron Horse Armor,minecraft:iron_horse_armor,5
dungeonChest,1xitem.horsearmordiamond@0,Diamond Horse Armor,minecraft:diamond_horse_armor,1
dungeonChest,1xitem.enchantedBook@0,Enchanted Book,minecraft:enchanted_book,1
dungeonChest,1xitem.railcraft.ingot@1,Copper Ingot,Railcraft:ingot,100
dungeonChest,1xitem.railcraft.ingot@2,Tin Ingot,Railcraft:ingot,100
dungeonChest,1xic2.itemOreIridium@0,Iridium Ore,IC2:itemOreIridium,20
dungeonChest,1xic2.itemShardIridium@0,Iridium Shard,IC2:itemShardIridium,100
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_blocks,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_chirp,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_far,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_mall,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_mellohi,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_stal,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_strad,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_ward,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_11,5
dungeonChest,1xitem.record@0,Music Disc,minecraft:record_wait,5
dungeonChest,1xitem.runes@17,Infinity Orb,arsmagica2:rune,3
dungeonChest,1xitem.runes@18,Infinity Orb,arsmagica2:rune,1
dungeonChest,1xitem.manaResource@0,Manasteel Ingot,Botania:manaResource,9
dungeonChest,1xitem.lexicon@0,Lexica Botania,Botania:lexicon,6
dungeonChest,1xitem.manaBottle@0,Mana in a Bottle,Botania:manaBottle,5
dungeonChest,1xitem.blackLotus@0,Black Lotus,Botania:blackLotus,6
dungeonChest,1xitem.overgrowthSeed@0,Overgrowth Seed,Botania:overgrowthSeed,2
dungeonChest,1xitem.railcraft.tool.steel.sword@0,Steel Sword,Railcraft:tool.steel.sword,5
dungeonChest,1xitem.railcraft.armor.steel.helmet@0,Steel Helmet,Railcraft:armor.steel.helmet,5
dungeonChest,1xitem.railcraft.armor.steel.plate@0,Steel Chestplate,Railcraft:armor.steel.plate,5
dungeonChest,1xitem.railcraft.armor.steel.legs@0,Steel Leggings,Railcraft:armor.steel.legs,5
dungeonChest,1xitem.railcraft.armor.steel.boots@0,Steel Boots,Railcraft:armor.steel.boots,5
dungeonChest,1xitem.etfuturum.beetroot_seeds@0,Beetroot Seeds,etfuturum:beetroot_seeds,5
dungeonChest,1xitem.dominoes@0,Domino's Special,NuclearCraft:dominoes,4
dungeonChest,1xitem.ricecake@0,Ricecake (without Fish),NuclearCraft:ricecake,4
dungeonChest,1xitem.toughBow@0,Tough Alloy Bow,NuclearCraft:toughBow,2
dungeonChest,1xitem.recordPractice@0,NuclearCraft Music Disc,NuclearCraft:recordPractice,4
dungeonChest,1xitem.recordArea51@0,NuclearCraft Music Disc,NuclearCraft:recordArea51,4
dungeonChest,1xitem.recordNeighborhood@0,NuclearCraft Music Disc,NuclearCraft:recordNeighborhood,4
dungeonChest,1xitem.dUBullet@0,DU Bullet,NuclearCraft:dUBullet,8
dungeonChest,1xitem.openblocks.glasses.technicolor@0,Amazing Technicolor Glasses,OpenBlocks:technicolorGlasses,2
dungeonChest,1xitem.UnknownDimlet@0,Unknown Dimlet,rftools:unknownDimlet,50
dungeonChest,1xitem.diamondZane@0,Diamond Zane,Ztones:diamondZane,1
dungeonChest,1xitem.mfr.safarinet.singleuse@0,Safari Net (Single-Use),MineFactoryReloaded:safarinet.singleuse,25
dungeonChest,1xtile.mfr.rubberwood.sapling@2,Mega Rubber Sapling,MineFactoryReloaded:rubberwood.sapling,8
dungeonChest,1xitem.standardBindingAgent@0,Standard Binding Agent,AWWayofTime:standardBindingAgent,6
dungeonChest,1xitem.mundanePowerCatalyst@0,Mundane Power Catalyst,AWWayofTime:mundanePowerCatalyst,4
dungeonChest,1xitem.mundaneLengtheningCatalyst@0,Mundane Lengthening Catalyst,AWWayofTime:mundaneLengtheningCatalyst,4
dungeonChest,1xitem.averagePowerCatalyst@0,Average Power Catalyst,AWWayofTime:averagePowerCatalyst,2
dungeonChest,1xitem.averageLengtheningCatalyst@0,Average Lengthening Catalyst,AWWayofTime:averageLengtheningCatalyst,2
dungeonChest,1xitem.greaterPowerCatalyst@0,Greater Power Catalyst,AWWayofTime:greaterPowerCatalyst,1
dungeonChest,1xitem.greaterLengtheningCatalyst@0,Greater Lengthening Catalyst,AWWayofTime:greaterLengtheningCatalyst,1
dungeonChest,1xitem.itemAlloy@6,Dark Steel,EnderIO:itemAlloy,15
dungeonChest,1xitem.enderio.itemConduitProbe@0,Conduit Probe,EnderIO:itemConduitProbe,10
dungeonChest,1xitem.netherquartz@0,Nether Quartz,minecraft:quartz,20
dungeonChest,1xitem.netherStalkSeeds@0,Nether Wart,minecraft:nether_wart,10
dungeonChest,1xitem.enderPearl@0,Ender Pearl,minecraft:ender_pearl,30
dungeonChest,1xitem.darkSteel_sword@0,The Ender,EnderIO:item.darkSteel_sword,5
dungeonChest,1xitem.darkSteel_boots@0,Dark Boots,EnderIO:item.darkSteel_boots,5
dungeonChest,1xitem.oc.multi@4,Floppy Disk,OpenComputers:item,5
dungeonChest,1xitem.tconstruct.canister@1,Miniature Red Heart,TConstruct:heartCanister,5
dungeonChest,1xtile.disposeItemTurret@0,Disposable Item Turret,openmodularturrets:disposeItemTurret,15
dungeonChest,1xtile.baseTierWood@0,Turret Base (Tier 1),openmodularturrets:baseTierWood,15
dungeonChest,1xtile.leverBlock@0,Basic Turret Base Crank,openmodularturrets:leverBlock,15
dungeonChest,1xitem.stopWorm@0,STOP! -Worm,PneumaticCraft:stopWorm,10
dungeonChest,1xitem.nukeVirus@0,Nuke Virus,PneumaticCraft:nukeVirus,10
dungeonChest,1xitem.PortalGunBlue@0,Portal Gun,PortalGun:PortalGunBlue,2
dungeonChest,1xitem.PortalGunBlue@1,Portal Gun,PortalGun:PortalGunBlue,2
dungeonChest,1xitem.PortalGunBlue@2,Portal Gun,PortalGun:PortalGunBlue,2
dungeonChest,1xitem.PortalGunBlue@3,Portal Gun,PortalGun:PortalGunBlue,2
dungeonChest,1xitem.PortalGunBlue@4,Portal Gun,PortalGun:PortalGunBlue,2
dungeonChest,1xitem.PortalSpawner@0,Portal Spawner,PortalGun:PortalGunSpawner,2
dungeonChest,1xitem.PortalDust@0,Ender Pearl Dust,PortalGun:EnderPearlDust,10
dungeonChest,1xitem.PortalMultiItem@14,Material Emancipation Grill (Unfinished! Do not use!),PortalGun:PortalMulti,2
dungeonChest,1xitem.wineGrapes@0,Wine Grapes,psychedelicraft:wineGrapes,10
dungeonChest,1xitem.glassChalice@0,Glass Chalice,psychedelicraft:glassChalice,5
dungeonChest,1xitem.woodenMug@0,Wooden Mug,psychedelicraft:woodenMug,5
dungeonChest,1xitem.juniperBerries@0,Juniper Berries,psychedelicraft:juniperBerries,10
dungeonChest,1xitem.driedTobacco@0,Dried Tobacco,psychedelicraft:driedTobacco,5
dungeonChest,1xitem.TravellersGear.simpleGear@6,Title Scroll,TravellersGear:simpleGear,8
dungeonChest,1xitem.weaponcase@0,Weapon Case: First Edition,weaponcaseloot:item.weaponcase,3
dungeonChest,1xitem.weaponcase@1,Weapon Case: Second Edition,weaponcaseloot:item.weaponcase,3
dungeonChest,1xitem.weaponcase@2,Weapon Case: Bows,weaponcaseloot:item.weaponcase,3
dungeonChest,1xitem.weaponcase@3,Weapon Case: Baubles Rings,weaponcaseloot:item.weaponcase,3
dungeonChest,1xitem.InfiTool.Broadsword@0,Broadsword,TConstruct:broadsword,2
dungeonChest,1xitem.ItemLootBag@0,Common Treasure,Thaumcraft:ItemLootBag,5
dungeonChest,1xitem.ItemResource@2,Thaumium Ingot,Thaumcraft:ItemResource,5
dungeonChest,1xitem.ItemResource@6,Amber,Thaumcraft:ItemResource,5
dungeonChest,1xitem.ItemLootBag@1,Uncommon Treasure,Thaumcraft:ItemLootBag,4
dungeonChest,1xitem.ItemBaubleBlanks@0,Mundane Amulet,Thaumcraft:ItemBaubleBlanks,4
dungeonChest,1xitem.ItemBaubleBlanks@1,Mundane Ring,Thaumcraft:ItemBaubleBlanks,4
dungeonChest,1xitem.ItemBaubleBlanks@2,Mundane Belt,Thaumcraft:ItemBaubleBlanks,4
dungeonChest,1xitem.ItemResource@9,Knowledge Fragment,Thaumcraft:ItemResource,4
dungeonChest,1xitem.ItemLootBag@2,Rare Treasure,Thaumcraft:ItemLootBag,1
dungeonChest,1xitem.ItemThaumonomicon@0,Thaumonomicon,Thaumcraft:ItemThaumonomicon,1
dungeonChest,1xitem.ItemSwordThaumium@0,Thaumium Sword,Thaumcraft:ItemSwordThaumium,1
dungeonChest,1xitem.ItemPickThaumium@0,Thaumium Pickaxe,Thaumcraft:ItemPickThaumium,1
dungeonChest,1xitem.ItemAxeThaumium@0,Thaumium Axe,Thaumcraft:ItemAxeThaumium,1
dungeonChest,1xitem.ItemHoeThaumium@0,Thaumium Hoe,Thaumcraft:ItemHoeThaumium,1
dungeonChest,1xitem.ItemRingRunic@0,Ring of Protection,Thaumcraft:ItemRingRunic,1
dungeonChest,1xitem.ItemBaubleBlanks@3,Apprentices Ring of Aer,Thaumcraft:ItemBaubleBlanks,1
dungeonChest,1xitem.ItemBaubleBlanks@4,Apprentices Ring of Terra,Thaumcraft:ItemBaubleBlanks,1
dungeonChest,1xitem.ItemBaubleBlanks@5,Apprentices Ring of Ignis,Thaumcraft:ItemBaubleBlanks,1
dungeonChest,1xitem.ItemBaubleBlanks@6,Apprentices Ring of Aqua,Thaumcraft:ItemBaubleBlanks,1
dungeonChest,1xitem.ItemBaubleBlanks@7,Apprentices Ring of Ordo,Thaumcraft:ItemBaubleBlanks,1
dungeonChest,1xitem.ItemBaubleBlanks@8,Apprentices Ring of Perditio,Thaumcraft:ItemBaubleBlanks,1
dungeonChest,1xitem.ItemAmuletVis@0,Vis Stone,Thaumcraft:ItemAmuletVis,1
dungeonChest,1xitem.baubleEnderDisjunction@1,Lesser Ring of Ender Disjunction,Automagy:baubleEnderDisjunction,1
dungeonChest,1xitem.phialExtra@0,Phial of Enchanter's Concentrate,Automagy:phialExtra,3
dungeonChest,1xitem.for.beeDroneGE@0,Steadfast Drone,Forestry:beeDroneGE,10
dungeonChest,1xitem.extrautils:divisionSigil@0,Division Sigil,ExtraUtilities:divisionSigil,11
dungeonChest,1xtile.extrautils:plant/ender_lilly@0,Ender-Lily Seeds,ExtraUtilities:plant/ender_lilly,31
dungeonChest,1xitem.spagettiandmeatballsItem@0,Spagetti and Meatballs,harvestcraft:spagettiandmeatballsItem,5
dungeonChest,1xitem.deluxecheeseburgerItem@0,Deluxe Cheeseburger,harvestcraft:deluxecheeseburgerItem,5
dungeonChest,1xitem.delightedmealItem@0,Delighted Meal,harvestcraft:delightedmealItem,5
dungeonChest,1xitem.heartybreakfastItem@0,Hearty Breakfast,harvestcraft:heartybreakfastItem,5
dungeonChest,1xitem.curryItem@0,Curry Rice,harvestcraft:curryItem,5
dungeonChest,1xitem.rainbowcurryItem@0,Rainbow Curry,harvestcraft:rainbowcurryItem,5
dungeonChest,1xitem.supremepizzaItem@0,Supreme Pizza,harvestcraft:supremepizzaItem,5
dungeonChest,1xitem.baconmushroomburgerItem@0,Bacon Mushroom Burger,harvestcraft:baconmushroomburgerItem,5
dungeonChest,1xitem.sausageinbreadItem@0,Sausage in Bread,harvestcraft:sausageinbreadItem,5
dungeonChest,1xitem.beefwellingtonItem@0,Beef Wellington,harvestcraft:beefwellingtonItem,5
dungeonChest,1xitem.epicbaconItem@0,Epic Bacon,harvestcraft:epicbaconItem,5
dungeonChest,1xitem.draconicevolution:dezilsMarshmallow@0,Dezil's Marshmallow,DraconicEvolution:dezilsMarshmallow,5
dungeonChest,1xgt.metaitem.02@32137,Holy Water,gregtech:gt.metaitem.02,20
dungeonChest,1xgt.metaitem.02@32100,Purple Drink,gregtech:gt.metaitem.02,80
dungeonChest,1xitem.ImmersiveEngineering.metal@3,Silver Ingot,ImmersiveEngineering:metal,120
dungeonChest,1xitem.ImmersiveEngineering.metal@2,Lead Ingot,ImmersiveEngineering:metal,30
dungeonChest,1xitem.ImmersiveEngineering.metal@7,Steel Ingot,ImmersiveEngineering:metal,60
dungeonChest,1xgt.metaitem.01@11300,Bronze Ingot,gregtech:gt.metaitem.01,60
dungeonChest,1xgt.metaitem.01@11031,Manganese Ingot,gregtech:gt.metaitem.01,60
dungeonChest,1xgt.metaitem.01@11335,Damascus Steel Ingot,gregtech:gt.metaitem.01,10
dungeonChest,1xitem.emerald@0,Emerald,minecraft:emerald,20
dungeonChest,1xitem.projectred.core.part@37,Ruby,ProjRed|Core:projectred.core.part,20
dungeonChest,1xitem.projectred.core.part@38,Sapphire,ProjRed|Core:projectred.core.part,20
dungeonChest,1xgt.metaitem.01@8504,Green Sapphire,gregtech:gt.metaitem.01,20
dungeonChest,1xgt.metaitem.01@8505,Olivine,gregtech:gt.metaitem.01,20
dungeonChest,1xgt.metaitem.01@8527,Red Garnet,gregtech:gt.metaitem.01,40
dungeonChest,1xgt.metaitem.01@8528,Yellow Garnet,gregtech:gt.metaitem.01,40
dungeonChest,1xgt.metaitem.01@2067,Neodymium Dust,gregtech:gt.metaitem.01,40
dungeonChest,1xgt.metaitem.01@2030,Chrome Dust,gregtech:gt.metaitem.01,40
ieVillageCrates,1xitem.ImmersiveEngineering.material@0,Treated Stick,ImmersiveEngineering:material,20
ieVillageCrates,1xitem.ImmersiveEngineering.material@11,Iron Mechanical Component,ImmersiveEngineering:material,8
ieVillageCrates,1xitem.ImmersiveEngineering.material@12,Steel Mechanical Component,ImmersiveEngineering:material,5
ieVillageCrates,1xitem.ImmersiveEngineering.metal@0,Copper Ingot,ImmersiveEngineering:metal,16
ieVillageCrates,1xitem.ImmersiveEngineering.metal@1,Aluminium Ingot,ImmersiveEngineering:metal,10
ieVillageCrates,1xitem.ImmersiveEngineering.metal@2,Lead Ingot,ImmersiveEngineering:metal,10
ieVillageCrates,1xitem.ImmersiveEngineering.metal@7,Steel Ingot,ImmersiveEngineering:metal,8
ieVillageCrates,1xitem.ImmersiveEngineering.blueprint@0,Engineer's Blueprint,ImmersiveEngineering:blueprint,5
ieVillageCrates,1xitem.ImmersiveEngineering.blueprint@1,Engineer's Blueprint,ImmersiveEngineering:blueprint,2
ieVillageCrates,1xitem.ImmersiveEngineering.blueprint@2,Engineer's Blueprint,ImmersiveEngineering:blueprint,1
ieVillageCrates,1xitem.ImmersiveEngineering.shader@0,Shader,ImmersiveEngineering:shader,5
mfr:villageZoolologist,1xitem.mfr.safarinet.singleuse@0,Safari Net (Single-Use),MineFactoryReloaded:safarinet.singleuse,35
mfr:villageZoolologist,1xitem.mfr.safarinet.jailer@0,Jailer's Safari Net,MineFactoryReloaded:safarinet.jailer,20
mfr:villageZoolologist,1xitem.mfr.safarinet.reusable@0,Safari Net (Reusable),MineFactoryReloaded:safarinet.reusable,5
mfr:villageZoolologist,1xitem.mfr.safarinet.singleuse@0,Safari Net (Single-Use),MineFactoryReloaded:safarinet.singleuse,17
mfr:villageZoolologist,1xitem.mfr.safarinet.jailer@0,Jailer's Safari Net,MineFactoryReloaded:safarinet.jailer,10
mfr:villageZoolologist,1xitem.mfr.safarinet.reusable@0,Safari Net (Reusable),MineFactoryReloaded:safarinet.reusable,2
mfr:villageZoolologist,1xitem.leash@0,Lead,minecraft:lead,10
mfr:villageZoolologist,1xitem.nameTag@0,Name Tag,minecraft:name_tag,10
mfr:villageZoolologist,1xitem.mfr.safarinet.launcher@0,Safari Net Launcher,MineFactoryReloaded:safarinet.launcher,8
mfr:villageZoolologist,1xitem.paper@0,Paper,minecraft:paper,14
mfr:villageZoolologist,1xitem.coal@1,Charcoal,minecraft:coal,14
mfr:villageZoolologist,1xitem.mfr.record.blank@0,Blank Record,MineFactoryReloaded:record.blank,14
mfr:villageZoolologist,1xitem.book@0,Book,minecraft:book,7
mfr:villageZoolologist,1xitem.mfr.spyglass@0,Spyglass,MineFactoryReloaded:spyglass,7
mfr:villageZoolologist,1xitem.mfr.ruler@0,Ruler,MineFactoryReloaded:ruler,7
mfr:villageZoolologist,1xitem.mfr.bucket.essence@0,Essence Bucket,MineFactoryReloaded:bucket.essence,6
mfr:villageZoolologist,1xitem.mfr.syringe.empty@0,Empty Syringe,MineFactoryReloaded:syringe.empty,6
mfr:villageZoolologist,1xitem.mfr.syringe.health@0,Health Syringe,MineFactoryReloaded:syringe.health,6
mfr:villageZoolologist,1xitem.mfr.syringe.growth@0,Growth Syringe,MineFactoryReloaded:syringe.growth,6
mfr:villageZoolologist,1xitem.mfr.hammer@0,Precision Sledgehammer,MineFactoryReloaded:hammer,25
mfr:villageZoolologist,1xitem.mfr.plastic.armor.boots@0,Plastic Boots,MineFactoryReloaded:plastic.boots,25
mfr:villageZoolologist,1xtile.mfr.rubberwood.sapling@0,Rubber Sapling,MineFactoryReloaded:rubberwood.sapling,20
mfr:villageZoolologist,1xtile.mfr.vinescaffold@0,Vine Scaffolding,MineFactoryReloaded:vinescaffold,20
mfr:villageZoolologist,1xitem.mfr.plastic.sheet@0,Plastic Sheets,MineFactoryReloaded:plastic.sheet,16
mfr:villageZoolologist,1xitem.mfr.plastic.bag@0,Plastic Bag,MineFactoryReloaded:plastic.bag,7
mfr:villageZoolologist,1xitem.reeds@0,Sugar Canes,minecraft:reeds,7
mfr:villageZoolologist,1xitem.seeds_pumpkin@0,Pumpkin Seeds,minecraft:pumpkin_seeds,7
mfr:villageZoolologist,1xitem.snowball@0,Snowball,minecraft:snowball,7
mfr:villageZoolologist,2xtile.sapling@0,Oak Sapling,minecraft:sapling,7
mfr:villageZoolologist,1xitem.mfr.straw@0,Straw,MineFactoryReloaded:straw,5
mfr:villageZoolologist,1xitem.mfr.portaspawner@0,PortaSpawner,MineFactoryReloaded:portaspawner,1
mineshaftCorridor,1xitem.ingotIron@0,Iron Ingot,minecraft:iron_ingot,10
mineshaftCorridor,1xitem.ingotGold@0,Gold Ingot,minecraft:gold_ingot,5
mineshaftCorridor,1xitem.redstone@0,Redstone,minecraft:redstone,5
mineshaftCorridor,1xitem.dyePowder@4,Lapis Lazuli,minecraft:dye,5
mineshaftCorridor,1xitem.diamond@0,Diamond,minecraft:diamond,3
mineshaftCorridor,1xitem.coal@0,Coal,minecraft:coal,10
mineshaftCorridor,1xitem.bread@0,Bread,minecraft:bread,15
mineshaftCorridor,1xitem.pickaxeIron@0,Iron Pickaxe,minecraft:iron_pickaxe,1
mineshaftCorridor,1xtile.rail@0,Track,minecraft:rail,1
mineshaftCorridor,1xitem.seeds_melon@0,Melon Seeds,minecraft:melon_seeds,10
mineshaftCorridor,1xitem.seeds_pumpkin@0,Pumpkin Seeds,minecraft:pumpkin_seeds,10
mineshaftCorridor,1xitem.saddle@0,Saddle,minecraft:saddle,3
mineshaftCorridor,1xitem.horsearmormetal@0,Iron Horse Armor,minecraft:iron_horse_armor,1
mineshaftCorridor,1xitem.enchantedBook@0,Enchanted Book,minecraft:enchanted_book,1
mineshaftCorridor,1xic2.itemToolBronzePickaxe@0,Bronze Pickaxe,IC2:itemToolBronzePickaxe,1
mineshaftCorridor,1xic2.itemTinCanFilled@0,(Filled) Tin Can,IC2:itemTinCanFilled,8
mineshaftCorridor,1xic2.itemShardIridium@0,Iridium Shard,IC2:itemShardIridium,8
mineshaftCorridor,1xitem.railcraft.ingot@1,Copper Ingot,Railcraft:ingot,9
mineshaftCorridor,1xitem.railcraft.ingot@2,Tin Ingot,Railcraft:ingot,8
